city,neighbourhood,min,max,mean,bedrooms,level,neighbourhood-level
LA,Whittier,3.465735903,6.163314804,4.595613469,1.925925926,2.386183917,1
Chicago,Wicker Park,3.401197382,7.313220387,4.772828773,1.5625,3.054610414,1
NYC,Williamsbridge,3.688879454,6.214608098,4.327282918,1.25,3.461826334,1
NYC,Williamsburg,3.17805383,7.313220387,4.740027304,1.17109867,4.047504641,3
LA,Willowbrook,3.091042453,5.293304825,4.215179619,2,2.107589809,1
NYC,Willowbrook,3.091042453,5.293304825,4.215179619,2,2.107589809,1
LA,Wilmington,7.170119543,7.170119543,7.170119543,1,7.170119543,4
NYC,Windsor Terrace,3.401197382,6.194405391,4.721371762,1.418803419,3.327713832,1
LA,Winnetka,3.871201011,5.59471138,4.360761021,1.222222222,3.567895381,1
Boston,Winthrop,3.891820298,4.49980967,4.231898354,1,4.231898354,4
NYC,Woodhaven,3.401197382,5.940171253,4.011399681,1.090909091,3.677116374,2
DC,Woodland,4.828313737,4.828313737,4.828313737,2,2.414156869,1
LA,Woodland Hills/Warner Center,3.401197382,7.495541944,4.64100901,1.530120482,3.033100377,1
Chicago,Woodlawn,3.496507561,5.707110265,4.222119459,1.5,2.814746306,1
NYC,Woodlawn,3.496507561,5.707110265,4.222119459,1.5,2.814746306,1
DC,Woodley Park,4.094344562,7.575584652,5.177354862,1.305555556,3.965633511,3
DC,Woodridge,3.401197382,6.109247583,4.477236584,1.285714286,3.482295121,1
NYC,Woodside,3.401197382,5.616771098,4.303015774,1.139534884,3.776115883,2
Chicago,Wrigleyville,3.295836866,6.684611728,5.067042764,2.238095238,2.263997831,1
